item_code,brand_x,brand_y,manufacturer,id,mrp,count
921701,himalaya gokshura tribulus tablets 60's,himalaya rumalaya tablet 60s,Reckitt Benckiser India Pvt Ltd,211052.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya septilin tablet 60s,Reckitt Benckiser India Pvt Ltd,211056.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya abana tablet 60s,Reckitt Benckiser India Pvt Ltd,364394.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya confido tablet 60s,Reckitt Benckiser India Pvt Ltd,364419.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya diabecon tablet 60s,Reckitt Benckiser India Pvt Ltd,364423.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya purim tablet 60s,Reckitt Benckiser India Pvt Ltd,364483.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya speman tablet 60s,Reckitt Benckiser India Pvt Ltd,376669.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya ashvagandha tablet 60s,Reckitt Benckiser India Pvt Ltd,376923.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya arjuna tablet 60s,Reckitt Benckiser India Pvt Ltd,376924.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya pilex tablet 60s,Reckitt Benckiser India Pvt Ltd,377004.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya methi tablet 60s,Reckitt Benckiser India Pvt Ltd,380026.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya shatavari tablets 60s,Reckitt Benckiser India Pvt Ltd,381044.0,245,20
923267,himalaya wellness haridra tablet 60's,himalaya wellness pure herbs amalaki tablet 60s,Reckitt Benckiser India Pvt Ltd,211112.0,82,41
923267,himalaya wellness haridra tablet 60's,himalaya wellness pure herbs tagara tablet 60s,Reckitt Benckiser India Pvt Ltd,211121.0,82,41
923267,himalaya wellness haridra tablet 60's,himalaya wellness pure herbs yashtimadhu tablet 60s,Reckitt Benckiser India Pvt Ltd,211126.0,82,41
923267,himalaya wellness haridra tablet 60's,himalaya wellness pure herbs gokshura tablet 60s,Reckitt Benckiser India Pvt Ltd,364509.0,82,41
923267,himalaya wellness haridra tablet 60's,himalaya wellness pure herbs shallaki tablet 60s,Reckitt Benckiser India Pvt Ltd,364513.0,82,41
923267,himalaya wellness haridra tablet 60's,himalaya wellness pure herbs ashvagandha tablet 60s,Reckitt Benckiser India Pvt Ltd,380593.0,82,41
923267,himalaya wellness haridra tablet 60's,himalaya bresol tablet 60s,Reckitt Benckiser India Pvt Ltd,210838.0,82,41
923267,himalaya wellness haridra tablet 60's,himalaya cystone tablet 60s,Reckitt Benckiser India Pvt Ltd,210857.0,82,41
923267,himalaya wellness haridra tablet 60's,himalaya hadjod tablet 60s,Reckitt Benckiser India Pvt Ltd,210913.0,82,41
923267,himalaya wellness haridra tablet 60's,himalaya lukol tablet 60s,Reckitt Benckiser India Pvt Ltd,210971.0,82,41
923267,himalaya wellness haridra tablet 60's,himalaya menosan tablet 60s,Reckitt Benckiser India Pvt Ltd,210978.0,82,41
